"","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","LogLotSqFt","LogSalePrice","ScaledLogPrice"
"1",7129300520,"20141013T000000",221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,8.63941082414049,12.3099821089207,-1.40090468121148
"2",6414100192,"20141209T000000",538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,8.88765269032559,13.1956138391439,0.280617555002235
"3",5631500400,"20150225T000000",180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,9.21034037197618,12.1007121298723,-1.79823927428557
"4",2487200875,"20141209T000000",604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,8.51719319141624,13.311329476917,0.50032334393547
"5",1954400510,"20150218T000000",510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,8.99714715151514,13.1421660047005,0.179137764896458
"6",7237550310,"20140512T000000",1225000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,11.5320415821625,14.018451401961,1.84291440080291
"7",1321400060,"20140627T000000",257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,8.82746811252065,12.4587749990859,-1.11839611149222
"8",2008000270,"20150115T000000",291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,9.18101454259435,12.5839952506319,-0.880644199254596
"9",2414600126,"20150415T000000",229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,8.91865027812686,12.3436583084827,-1.33696469751138
"10",3793500160,"20150312T000000",323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,8.78874588193814,12.6854076022048,-0.688095628130683
"11",1736800520,"20150403T000000",662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,9.18972941807206,13.4037758368425,0.675848457328443
"12",9212900260,"20140527T000000",468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,8.69951474821019,13.0562235748998,0.0159614673311864
"13",114101516,"20140528T000000",310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,9.89852526070631,12.6443275764613,-0.766093033140614
"14",6054650070,"20141007T000000",4e+05,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,9.17781718027062,12.8992198260901,-0.282136811877731
"15",1175000570,"20150312T000000",530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,8.48673398393153,13.1806322855283,0.25217253132254
"16",9297300055,"20150124T000000",650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,8.51719319141624,13.3847276418718,0.639682224446425
"17",1875500060,"20140731T000000",395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,9.5496656775798,12.8866410438833,-0.306019766003588
"18",6865200140,"20140529T000000",485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,8.36637030168165,13.0919041699196,0.0837071361907122
"19",16000397,"20141205T000000",189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,9.19522673416613,12.1495022940418,-1.70560286215213
"20",7983200060,"20150424T000000",230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,9.1874810778301,12.3458345879053,-1.33283266145573
"21",6300500875,"20140514T000000",385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,8.5131851700187,12.8609986132699,-0.354706275074381
"22",2524049179,"20140826T000000",2e+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,10.7114578369176,14.5086577385242,2.77365437672518
"23",7137970340,"20140703T000000",285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,8.74830491237962,12.5602444592508,-0.92573911000831
"24",8091400200,"20140516T000000",252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,9.17398754251038,12.4399582933763,-1.15412282270104
"25",3814700200,"20141120T000000",329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,8.77955745588373,12.7038130297475,-0.653149798364291
"26",1202000200,"20141103T000000",233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,8.45467928602699,12.3587937325478,-1.30822752465334
"27",1794500383,"20140626T000000",937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,7.89766815072691,13.7504385612206,1.33404650919948
"28",3303700376,"20141201T000000",667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,7.36581283720947,13.4105453248978,0.688701479983594
"29",5101402488,"20140624T000000",438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,8.76092337633884,12.9899741893586,-0.109824241470081
"30",1873100390,"20150302T000000",719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,8.87807925612644,13.4856166367032,0.831237113921112
"31",8562750320,"20141110T000000",580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,8.28903709827848,13.2716450801201,0.424975777483842
"32",2426039314,"20141201T000000",280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,7.14282740116162,12.5425448821514,-0.95934476284182
"33",461000390,"20140624T000000",687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,8.51719319141624,13.4408171085229,0.746177601895608
"34",7589200193,"20141110T000000",535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,8.00636756765025,13.1900220258781,0.270000547925499
"35",7955080270,"20141203T000000",322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,8.80372460211062,12.683858415218,-0.691037022705323
"36",9547205180,"20140613T000000",696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,8.02617019494643,13.4531049393166,0.769508135354724
"37",9435300030,"20140528T000000",550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,10.4587510257327,13.2176735572087,0.322501675889708
"38",2768000400,"20141230T000000",640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,8.69951474821019,13.3692234553359,0.610244893414869
"39",7895500070,"20150213T000000",240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,8.99652814809086,12.3883942023241,-1.2520260060846
"40",2078500320,"20140620T000000",605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,8.92970011431345,13.312983737013,0.503464237651243
"41",5547700270,"20140715T000000",625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,8.61613313927114,13.3455069287185,0.565215040134073
"42",7766200013,"20140811T000000",775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,10.0935292323452,13.5606183083355,0.97364052416379
"43",7203220400,"20140707T000000",861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,8.63746202380718,13.6669989486505,1.17562223517047
"44",9270200160,"20141028T000000",685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,7.73193072194849,13.4371741172444,0.739260764307159
